comment,cleaned_comment,lang
"Rakyat awam aja ngerti, bayangkan kalau investor yg pintar lihat ini.. auto kabur..",rakyat awam aja ngerti bayangkan kalau investor yg pintar lihat ini auto kabur,id
Warna merah di IHSG berarti warna cinta,warna merah di ihsg berarti warna cinta,id
"​ @mariopesak6071 gw udah kerja, dan lu mau bilang apa? Fakta nya memang kita harus khawatir , wajib khawatir",mariopesak gw udah kerja dan lu mau bilang apa fakta nya memang kita harus khawatir  wajib khawatir,id
"Trimakasih pak prabowo kami dr elemen masyarakat tani udh merasakan manfaat, subsidi pupuk,,sistem irigasi dan program MBG udh sesuai harapan, cuma kasian daerah lain yg blm kebagian❤❤ maju trs pak prabowo, teruslah MENGABDI disaat yg lain kemampuannya hanya menjual kata kata😮😮",trimakasih pak prabowo kami dr elemen masyarakat tani udh merasakan manfaat subsidi pupuksistem irigasi dan program mbg udh sesuai harapan cuma kasian daerah lain yg blm kebagian maju trs pak prabowo teruslah mengabdi disaat yg lain kemampuannya hanya menjual kata kata,id
Sekolah yang tinggi mas biar ga khawatir,sekolah yang tinggi mas biar ga khawatir,id
@johanesbaptista894  loh ini aku login pake email kampus negeri yang cukup punya nama wkwkwk. Justru sedih kalo udah sekolah tinggi-tinggi tapi gabisa peka sama situasi sekacau ini,johanesbaptista  loh ini aku login pake email kampus negeri yang cukup punya nama wkwkwk justru sedih kalo udah sekolah tinggitinggi tapi gabisa peka sama situasi sekacau ini,id
 @johanesbaptista894  lagian biar apa sih dikit-dikit bawa status pendidikan wkwk. ga mampu bersaing di level argumen?,johanesbaptista  lagian biar apa sih dikitdikit bawa status pendidikan wkwk ga mampu bersaing di level argumen,id
😂 sepertinya anda benar,sepertinya anda benar,id
Buzzer bang atau engga biasa penjilat wkwk😅​ @SitiMaysarah-wi7vk ,buzzer bang atau engga biasa penjilat wkwk sitimaysarahwivk,id
boleh sih sesekali masyarakat bekerja di dpr untuk waktu tertentu supaya bisa mengetahui bisa kerja apa engga,boleh sih sesekali masyarakat bekerja di dpr untuk waktu tertentu supaya bisa mengetahui bisa kerja apa engga,id
"​ @johanesbaptista894  semakin tinggi sekolah justru makin khawatir karena semakin tau klo permasalahannya begitu kompleks tapi rakyat justru malah dipermainkan oleh pemerintah, lu liat gimana RUU TNI lebih diprioritasin daripada RUU perampasan aset utk perbaikan sistem agar korupsi bisa diberantas. Sulit sulit jdi rakyat indo klo kyk gini terus. (Btw saya udh kerja parttime + kuliah ya, barangkali mau di counter 'makanya cari kerja jgn nganggur' kyk komen di atas)",johanesbaptista  semakin tinggi sekolah justru makin khawatir karena semakin tau klo permasalahannya begitu kompleks tapi rakyat justru malah dipermainkan oleh pemerintah lu liat gimana ruu tni lebih diprioritasin daripada ruu perampasan aset utk perbaikan sistem agar korupsi bisa diberantas sulit sulit jdi rakyat indo klo kyk gini terus btw saya udh kerja parttime  kuliah ya barangkali mau di counter makanya cari kerja jgn nganggur kyk komen di atas,id
"Serius... blm selesai nonton nya, baru mulai.. tp udh liat kesimpulannya...",serius blm selesai nonton nya baru mulai tp udh liat kesimpulannya,id
😂😂😂 lihat dan rasakan kenyataan bukan omon2,lihat dan rasakan kenyataan bukan omon,id
"​ @033_MUHAMMADARBYRAMADHAN bnerrrr.... Bnget bang s7, udh hrus waspada trhadap negri inj😢😢😢",muhammadarbyramadhan bnerrrr bnget bang s udh hrus waspada trhadap negri inj,id
​ @033_MUHAMMADARBYRAMADHAN mantullll... Ini nmanya debat org cerdas❤,muhammadarbyramadhan mantullll ini nmanya debat org cerdas,id
anjir ngakak,anjir ngakak,id
 @SitiMaysarah-wi7vk   Gajih anda apa tidak di bayar FULL di negara ini ?,sitimaysarahwivk   gajih anda apa tidak di bayar full di negara ini,id
Memang kalo hati kita sudah di landasi iri dengki apa pun yg di lakukan pemerintahselalu salah.,memang kalo hati kita sudah di landasi iri dengki apa pun yg di lakukan pemerintahselalu salah,id
@mandirifarm2211  lhah lu mbela2 pemerintah korup? Kebijakan ngaco? Sok2an alim bilang hati orang lain iri dengki...palingan lu pemuja si korup jokowi juga wkk,mandirifarm  lhah lu mbela pemerintah korup kebijakan ngaco sokan alim bilang hati orang lain iri dengkipalingan lu pemuja si korup jokowi juga wkk,id
"​ @Sahabatfarm86 lu aja yg bubar kali 😂 gw mah kaga, kali aja lu mau pindah warga negara dipersilakan dengan senang hati, berkurang beban atu lg..😂😂😂😂",sahabatfarm lu aja yg bubar kali  gw mah kaga kali aja lu mau pindah warga negara dipersilakan dengan senang hati berkurang beban atu lg,id
" @mandirifarm2211  ya ga gitu juga,masa semua harus benar??kalo benar ya benar,salah ya salah,justru kalo iri dan dengki mah ga ngurusin negara,yg kata anda iri dan dengki ini update masalah negara",mandirifarm  ya ga gitu jugamasa semua harus benarkalo benar ya benarsalah ya salahjustru kalo iri dan dengki mah ga ngurusin negarayg kata anda iri dan dengki ini update masalah negara,id
"​ @SitiMaysarah-wi7vk memang nya Indonesia sengsara sejak jokowi dan prabowo, dri zaman soekarno dan penjajahan juga udah sengsara.. Gak usah nunggu negara bubar.. Kamu mau khawatir mah khawatir aja.. Jgn nunggu US..",sitimaysarahwivk memang nya indonesia sengsara sejak jokowi dan prabowo dri zaman soekarno dan penjajahan juga udah sengsara gak usah nunggu negara bubar kamu mau khawatir mah khawatir aja jgn nunggu us,id
